pk_porg,pk_account,fk_financial_year
4677,10004576,202425
4711,10017053,202425
4711,10022128,202425
4711,10022129,202425
4711,10022130,202425
4711,10022131,202425
4711,30052535,202425
4711,30071433,202425
4711,30114656,202425
4711,30115049,202425
4735,10003290,202425
4762,10000119,202425
4762,10005221,202425
4798,10004697,202425
4824,10004723,202425
4848,10012212,202425
4850,10004749,202425
4865,10004764,202425
4867,10004766,202425
4868,30101923,202425
4871,10004770,202425
4874,30005489,202425
4881,10011318,202425
4883,10004782,202425
4885,10004784,202425
4886,10004785,202425
4900,10004799,202425
4901,10004800,202425
4907,10004806,202425
4915,10007761,202425
4917,10005812,202425
4922,10004821,202425
4923,30107541,202425
4970,10004869,202425
4972,10004871,202425
4978,10004877,202425
4990,10004889,202425
4991,10004890,202425
5013,10004912,202425
5053,30013384,202425
5063,10004962,202425
5064,10004963,202425
5084,10004983,202425
5085,30080705,202425
5090,10004989,202425
5097,10004995,202425
5097,10004996,202425
5116,10011795,202425
5123,10005022,202425
5131,10003045,202425
5134,10005033,202425
5145,10005044,202425
5148,10009324,202425
5151,10005050,202425
5176,10005075,202425
5189,30069437,202425
5192,30077366,202425
5202,10005101,202425
5209,10005108,202425
5242,30096675,202425
5273,30104134,202425
5303,10005202,202425
5310,10005209,202425
5326,10006227,202425
5326,10019515,202425
5326,10022226,202425
5326,30016888,202425
5326,30017197,202425
5326,30019114,202425
5326,30020506,202425
5326,30026347,202425
5326,30036288,202425
5326,30036636,202425
5326,30037210,202425
5326,30038653,202425
5326,30038654,202425
5326,30054650,202425
5326,30056168,202425
5326,30078547,202425
5326,30094614,202425
5364,10005076,202425
5370,30030376,202425
5404,10003950,202425
5404,10003951,202425
5404,10005140,202425
5404,10005303,202425
5431,10012585,202425
5434,10005333,202425
5435,10005334,202425
5441,10005340,202425
5442,10005341,202425
5454,30095249,202425
5463,10005362,202425
5476,10005375,202425
5484,10005383,202425
5500,10005377,202425
5502,10005401,202425
5513,10005412,202425
5518,10009421,202425
5537,10005733,202425
5554,10003722,202425
5564,10005463,202425
5569,10005468,202425
5586,10005485,202425
5597,30007831,202425
5598,10005795,202425
5599,10005498,202425
5603,10005502,202425
5609,10005508,202425
5611,30080692,202425
5616,30044514,202425
5629,10005528,202425
5633,10005532,202425
5637,10005536,202425
5643,10005542,202425
5653,10005552,202425
5654,10005454,202425
5656,10005555,202425
5664,10008647,202425
5667,30088195,202425
5675,10005574,202425
5681,10005580,202425
5683,10005582,202425
5684,30068155,202425
5691,10012208,202425
5725,10005624,202425
5727,30075449,202425
5735,10005634,202425
5768,10010579,202425
5774,10006391,202425
5775,10005674,202425
5776,10005675,202425
5785,10005684,202425
5790,10005689,202425
5791,10005690,202425
5792,10005691,202425
5799,10005698,202425
5801,30006030,202425
5832,10005731,202425
5843,30011030,202425
5846,10005745,202425
5847,10005746,202425
5851,10005750,202425
5853,10005459,202425
5855,10005754,202425
5856,10005755,202425
5861,10005760,202425
5877,30059295,202425
5930,10005829,202425
5933,10005832,202425
5934,30077602,202425
5936,10004447,202425
5940,10005839,202425
5941,10005840,202425
5947,10005846,202425
5953,10005852,202425
5956,10005855,202425
5957,10009571,202425
5958,10000149,202425
5958,10000933,202425
5958,10001904,202425
5958,10004208,202425
5958,10004210,202425
5958,10004211,202425
5958,10004357,202425
5958,10005857,202425
5958,10007351,202425
5958,10007812,202425
5958,10009297,202425
5958,10011900,202425
5974,10005873,202425
5976,10005875,202425
5979,10005878,202425
5992,10005891,202425
5997,10005896,202425
6004,10005903,202425
6006,10005905,202425
6007,10005906,202425
6008,10005907,202425
6024,10001207,202425
6038,30012852,202425
6043,30004419,202425
6044,10005943,202425
6049,10005948,202425
6054,10005953,202425
6064,10005963,202425
6075,10005974,202425
6076,30010369,202425
6078,10005977,202425
6088,10005987,202425
6100,10005999,202425
6103,10006002,202425
6106,10006005,202425
6110,10006009,202425
6125,10006024,202425
6132,10006031,202425
6134,10013605,202425
6157,10006056,202425
6158,10006057,202425
6165,10006064,202425
6198,10006097,202425
6199,10006098,202425
6205,10006104,202425
6209,10019405,202425
6218,10003900,202425
6236,10018296,202425
6259,10006158,202425
6263,10006162,202425
6275,30010364,202425
6297,30010290,202425
6301,10005770,202425
6310,10006209,202425
6319,30048605,202425
6324,10007851,202425
6340,10006726,202425
6352,10006251,202425
6376,10019593,202425
6389,10006288,202425
6390,30005709,202425
6397,10006296,202425
6400,10010440,202425
6406,10006305,202425
6407,10006797,202425
6408,10004466,202425
6411,10004269,202425
6413,10006312,202425
6427,30007531,202425
6438,10010678,202425
6448,10006347,202425
6454,10006353,202425
6468,10006367,202425
6476,10006375,202425
6487,10019047,202425
6495,30013390,202425
6499,30049809,202425
6500,10006399,202425
6513,10006412,202425
6516,10006414,202425
6525,10012581,202425
6526,10013218,202425
6528,10006427,202425
6537,10001475,202425
6543,10006442,202425
6556,10006455,202425
6565,10006464,202425
6577,10022284,202425
6587,10009330,202425
6595,10006494,202425
6606,10006505,202425
6608,10006507,202425
6618,10006517,202425
6622,10006521,202425
6629,10006528,202425
6652,10005529,202425
6657,10006556,202425
6690,10006589,202425
6692,10006591,202425
6695,10006594,202425
6705,10006604,202425
6715,10006255,202425
6734,10006633,202425
6737,10012010,202425
6738,30052972,202425
6746,10006645,202425
6750,10004417,202425
6764,10006663,202425
6781,30005490,202425
6786,30065431,202425
6797,30029859,202425
6841,10004487,202425
6854,10002962,202425
6856,30059664,202425
6857,10011143,202425
6859,30100653,202425
6924,10006282,202425
6927,10009055,202425
6963,30042191,202425
6965,10020235,202425
6969,10006868,202425
6975,10006874,202425
6978,10014435,202425
7005,10003322,202425
7023,10006922,202425
7040,10006939,202425
7046,10006945,202425
7055,30030938,202425
7065,10006964,202425
7067,10006966,202425
7082,30011028,202425
7083,10006982,202425
7093,10006992,202425
7103,10007002,202425
7105,10007185,202425
7108,10007007,202425
7117,10001308,202425
7118,10007017,202425
7123,30067458,202425
7148,10007047,202425
7170,10012172,202425
7171,10007070,202425
7176,30056336,202425
7185,10007084,202425
7188,10007087,202425
7191,30054316,202425
7210,10007109,202425
7214,10007113,202425
7220,30079690,202425
7225,10007124,202425
7227,10007126,202425
7236,10007135,202425
7252,10006944,202425
7259,10007158,202425
7265,10007164,202425
7271,30049749,202425
7276,10009885,202425
7277,10005438,202425
7288,10007187,202425
7311,10007210,202425
7314,10007213,202425
7331,10007230,202425
7332,10012377,202425
7334,10007233,202425
7338,10007237,202425
7345,10007244,202425
7347,10007246,202425
7350,10007249,202425
7357,10007256,202425
7360,10007259,202425
7363,10007262,202425
7368,30053147,202425
7380,10007279,202425
7395,10007294,202425
7425,10007324,202425
7427,10008508,202425
7430,10007329,202425
7433,10007332,202425
7469,10007368,202425
7474,10007373,202425
7481,30091860,202425
7490,30068662,202425
7503,10005465,202425
7506,10007405,202425
7512,10007411,202425
7516,10007415,202425
7524,10007423,202425
7532,10008880,202425
7545,30011437,202425
7546,10007445,202425
7558,10007457,202425
7600,10004429,202425
7618,10007517,202425
7619,30070059,202425
7620,10007519,202425
7631,10007530,202425
7633,10007532,202425
7665,10007564,202425
7668,30019099,202425
7703,10007602,202425
7710,10007609,202425
7711,30009233,202425
7712,10007611,202425
7721,30011964,202425
7722,10007621,202425
7725,10007624,202425
7726,10007625,202425
7727,10007626,202425
7728,10007627,202425
7731,10007630,202425
7733,10007632,202425
7747,10007646,202425
7755,30041480,202425
7756,10007655,202425
7770,10007669,202425
7773,30097310,202425
7780,10007679,202425
7784,10007683,202425
7801,10005804,202425
7824,10012414,202425
7832,10007731,202425
7838,10013366,202425
7853,30048656,202425
7858,10004502,202425
7886,10007785,202425
7887,30070095,202425
7893,10006053,202425
7908,10016330,202425
7921,10007820,202425
7926,10007825,202425
7930,10007829,202425
7933,10007832,202425
7938,10007837,202425
7942,10007841,202425
7945,10007844,202425
7948,10007847,202425
7951,30071667,202425
7956,10007855,202425
7963,10007862,202425
7966,10012200,202425
7967,10007866,202425
7971,10007870,202425
7972,10007871,202425
7979,10007878,202425
8018,10007917,202425
8023,10007922,202425
8051,10007950,202425
8069,10007968,202425
8070,10007969,202425
